Num_experimento,Seed,F1-score,best_parameter,varianza,std
119,246,0.704761904761905,{'C': 0.05},,
119,892,0.704761904761905,{'C': 0.05},0,0
120,421,0.530973451327434,{'C': 0.05},,
120,282,0.530973451327434,{'C': 0.05},,
120,924,0.530973451327434,{'C': 0.05},,
120,661,0.530973451327434,{'C': 0.05},,
120,384,0.530973451327434,{'C': 0.05},0,0
121,595,0.737864077669903,{'C': 0.05},,
121,442,0.737864077669903,{'C': 0.05},,
121,449,0.737864077669903,{'C': 0.05},,
121,677,0.737864077669903,{'C': 0.05},,
121,658,0.737864077669903,{'C': 0.05},0,0
122,890,0.643478260869565,{'C': 0.05},,
122,160,0.643478260869565,{'C': 0.05},,
122,216,0.643478260869565,{'C': 0.05},,
122,262,0.643478260869565,{'C': 0.05},,
122,521,0.643478260869565,{'C': 0.05},0,0
