1255,1500,2000,0.88,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5093632958801498,{'C': 0.5}
1258,1500,2000,0.88,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5093632958801498,{'C': 0.5}
9,2000,2000,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post upercase,tf,0.5074626865671642,{'C': 0.05}
21,2000,2000,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post upercase,tf,0.5074626865671642,{'C': 0.05}
1178,2000,2000,0.85,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5074626865671642,{'C': 1}
2321,2000,2000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level post lowercase,tf,0.5073529411764706,{'C': 0.05}
2333,2000,2000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level post lowercase,tf,0.5073529411764706,{'C': 0.05}
1270,1700,2000,0.83,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user lowercase,binary,0.5073529411764706,{'C': 0.05}
1262,2000,2000,0.83,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user lowercase,binary,0.5057471264367815,{'C': 0.25}
491,1500,2000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5056603773584906,{'C': 0.05}
515,1500,2000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5056603773584906,{'C': 0.05}
503,1500,2000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5056603773584906,{'C': 0.05}
527,1500,2000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5056603773584906,{'C': 0.05}
410,1500,1000,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
483,1500,1500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
507,1500,1500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
33,2000,2000,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level post upercase,tf,0.5055762081784386,{'C': 0.05}
490,3100,3500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
514,3100,3500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
422,1500,1000,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
495,1500,1500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
519,1500,1500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
45,2000,2000,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level post upercase,tf,0.5055762081784386,{'C': 0.05}
502,3100,3500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
526,3100,3500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5055762081784386,{'C': 0.05}
1182,1700,2000,0.85,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user lowercase,binary,0.5055762081784386,{'C': 0.12}
489,2000,2000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5037037037037037,{'C': 0.05}
513,2000,2000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5037037037037037,{'C': 0.05}
501,2000,2000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5037037037037037,{'C': 0.05}
525,2000,2000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5037037037037037,{'C': 0.05}
1175,1500,2000,0.85,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5019305019305019,{'C': 0.05}
1190,1500,2000,0.85,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5019305019305019,{'C': 0.05}
1193,1500,2000,0.85,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5019305019305019,{'C': 0.05}
130,3100,3500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level post upercase,tf,0.5019011406844107,{'C': 0.05}
142,3100,3500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level post upercase,tf,0.5019011406844107,{'C': 0.05}
387,1500,1500,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5018181818181817,{'C': 0.05}
411,1500,1500,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5018181818181817,{'C': 0.05}
399,1500,1500,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5018181818181817,{'C': 0.05}
423,1500,1500,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5018181818181817,{'C': 0.05}
386,1500,1000,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5,{'C': 0.12}
484,1700,1500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5,{'C': 0.12}
508,1700,1500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5,{'C': 0.12}
393,2000,2000,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5,{'C': 0.05}
417,2000,2000,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5,{'C': 0.05}
418,3100,3500,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5,{'C': 0.12}
398,1500,1000,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5,{'C': 0.12}
496,1700,1500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5,{'C': 0.12}
520,1700,1500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5,{'C': 0.12}
405,2000,2000,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5,{'C': 0.05}
