
57,[608, 652, 591, 148],0.0010088409092697342,0.0317622560481735
76,[503, 115, 695, 574],0.0010739810523231618,0.03277165013122107
104,[550, 865, 760, 552],0.0004525095674306267,0.0212722722676875
144,[152, 41, 189, 804],0.0003646401534029999,0.01909555323636893
58,[316, 931, 84, 144],0.0008115495266260355,0.02848770834282806
77,[953, 163, 430, 111],0.0013572885632737526,0.03684139741206558
125,[522, 860, 700, 430],0.000915135474303729,0.03025120616279174
59,[334, 794, 668, 199],0.0009521658715285553,0.030857185087570047
86,[137, 131, 723, 498],0.0006793525795071842,0.026064392943385126
78,[961, 542, 599, 518],0.0004713499980982497,0.02171059644731691
145,[145, 945, 670, 269],0.0006840455150272865,0.026154263802051218
87,[681, 5, 387, 184],0.0033422223858390132,0.05781195711822091
79,[392, 919, 285, 14],0.0007559191336781932,0.02749398359056383
105,[690, 2, 458, 691],0.0031776807729038347,0.05637092134162643
88,[555, 283, 784, 448],0.0003287729794582592,0.01813209804347691
106,[613, 180, 873, 452],0.0006569560587043139,0.025631154065010688
89,[403, 757, 900, 261],0.005215137614513262,0.07221590970494841
107,[166, 729, 788, 683],0.0015932219022372633,0.0399151838557367
90,[434, 615, 338, 157],0.0011770022537235711,0.03430746644279596
108,[685, 896, 832, 25],0.002820041347181932,0.05310406149422031
126,[231, 363, 168, 391],0.0025464779101190835,0.05046263875501442
91,[856, 551, 639, 682],0.0010764357336951287,0.032809080049509595
109,[896, 721, 41, 924],0.0005500653367904332,0.023453471742802455
146,[113, 532, 966, 425],0.001270488052726719,0.035643906249550134
92,[451, 823, 63, 442],0.0019981890816221093,0.04470110828181008
127,[926, 516, 43, 535],0.0017470294766009434,0.04179748170166408
110,[738, 306, 350, 200],0.0007541507849987258,0.027461805931124156
128,[423, 278, 883, 366],0.002650824518556839,0.05148615851427293
147,[557, 860, 46, 970],0.0006300405577821966,0.025100608713379775
93,[595, 566, 368, 549],0.0002584535790110435,0.016076491501911837
111,[951, 337, 474, 988],0.0077948670469045024,0.08828854425634451
148,[641, 393, 880, 387],0.0018698085280312246,0.04324128268253874
94,[185, 515, 257, 231],0.0010817712490825784,0.03289029110668646
129,[150, 843, 610, 463],0.0008879533946397787,0.02979854685449911
112,[536, 754, 585, 175],0.0011700181684663614,0.03420552833192847
95,[987, 346, 715, 913],0.002554797193677883,0.05054500166859116
149,[135, 406, 444, 712],0.0026672094758381005,0.05164503340920693
113,[309, 846, 365, 404],0.0013444912691383658,0.03666730517966061
96,[550, 710, 655, 46],0.0013891559389318485,0.03727138230508561
114,[987, 491, 515, 406],0.0009885501836720961,0.031441217910127085
97,[100, 68, 455, 542],0.0012890352086834978,0.03590313647417866
130,[58, 235, 420, 164],0.0047902484375660186,0.06921162068298949
115,[338, 794, 534, 933],0.0006589273183623646,0.02566957962963875
98,[98, 969, 319, 952],0.0012254993073735655,0.03500713223578255
150,[998, 193, 909, 662],0.0010805570276527603,0.03287182726367307
116,[712, 995, 189, 783],0.001207319806983365,0.03474650783867877
99,[503, 212, 327, 882],0.0024116212566840343,0.04910826057481607
117,[419, 111, 921, 897],0.0019858998068552694,0.04456343576134216
131,[791, 116, 421, 666],0.004488151643008675,0.06699366867853017
118,[5, 32, 276, 458],0.0009676429367727899,0.031106959619557645
151,[172, 643, 672, 754],0.0017493387586755137,0.041825097234501604
119,[681, 744, 32, 341],0.0003811437243496046,0.01952290255954797
132,[912, 466, 962, 79],0.0003411821048862749,0.018471115420739346
