
108,[147, 765, 350, 925, 722],0.0,0.0
236,[712, 852, 411, 437, 696],0.0,0.0
36,[53, 242, 833, 690, 664],0.0,0.0
328,[922, 523, 946, 527, 205],0.0,0.0
246,[163, 682, 136, 632, 533],0.0,0.0
118,[916, 759, 122, 151, 15],0.0,0.0
46,[36, 195, 242, 496, 86],0.0,0.0
338,[102, 27, 138, 571, 277],0.0,0.0
207,[784, 684, 710, 240, 434],0.0,0.0
7,[933, 352, 14, 556, 489],0.0,0.0
128,[613, 479, 871, 196, 492],0.0,0.0
217,[429, 517, 536, 593, 485],0.0,0.0
348,[952, 185, 241, 762, 251],0.0,0.0
17,[981, 264, 335, 780, 653],0.0,0.0
138,[557, 856, 984, 87, 44],0.0,0.0
309,[847, 718, 403, 736, 444],0.0,0.0
227,[155, 569, 444, 38, 332],0.0,0.0
27,[321, 513, 820, 688, 430],0.0,0.0
319,[727, 698, 283, 872, 472],0.0,0.0
148,[589, 152, 392, 930, 798],0.0,0.0
237,[338, 320, 784, 409, 7],0.0,0.0
37,[873, 80, 594, 69, 234],0.0,0.0
329,[525, 198, 514, 719, 902],0.0,0.0
109,[965, 312, 745, 433, 930],0.0,0.0
247,[272, 846, 960, 859, 213],0.0,0.0
339,[829, 486, 722, 485, 139],0.0,0.0
47,[397, 674, 219, 668, 90],0.0,0.0
119,[608, 89, 449, 967, 696],0.0,0.0
349,[955, 361, 593, 208, 555],0.0,0.0
208,[951, 178, 719, 328, 843],0.0,0.0
129,[487, 366, 974, 941, 220],0.0,0.0
8,[946, 949, 93, 248, 45],0.0,0.0
139,[755, 403, 948, 276, 989],0.0,0.0
218,[46, 735, 496, 701, 76],0.0,0.0
18,[690, 532, 124, 682, 449],0.0,0.0
149,[249, 111, 158, 797, 423],0.0,0.0
228,[462, 193, 786, 964, 703],0.0,0.0
28,[987, 613, 860, 905, 449],0.0,0.0
238,[41, 326, 330, 869, 804],0.0,0.0
38,[75, 666, 464, 114, 754],0.0,0.0
248,[857, 345, 80, 301, 783],0.0,0.0
48,[346, 420, 854, 830, 266],0.0,0.0
209,[368, 0, 503, 446, 222],0.0,0.0
219,[419, 787, 991, 440, 446],0.0,0.0
9,[387, 619, 276, 429, 361],0.0,0.0
19,[624, 873, 36, 493, 155],0.0,0.0
229,[776, 638, 628, 691, 432],0.0,0.0
239,[233, 330, 303, 79, 595],0.0,0.0
29,[188, 479, 86, 415, 731],0.0,0.0
350,[432, 102, 944, 901, 497],0.0,0.0
249,[632, 994, 739, 430, 250],0.0,0.0
39,[624, 739, 732, 586, 442],0.0,0.0
360,[96, 250, 578, 931, 664],0.0,0.0
49,[369, 112, 796, 219, 425],0.0,0.0
370,[203, 891, 298, 903, 55],0.0,0.0
150,[650, 78, 767, 637, 933],0.0,0.0
380,[245, 750, 980, 246, 880],0.0,0.0
160,[850, 381, 212, 181, 40],0.0,0.0
390,[975, 358, 260, 747, 774],0.0,0.0
170,[927, 823, 295, 895, 737],0.0,0.0
351,[171, 377, 340, 222, 218],0.0,0.0
180,[845, 428, 733, 514, 510],0.0,0.0
361,[394, 311, 657, 726, 806],0.0,0.0
190,[350, 489, 502, 703, 986],0.0,0.0
371,[85, 171, 446, 320, 397],0.0,0.0
151,[608, 644, 421, 138, 936],0.0,0.0
381,[111, 816, 463, 473, 786],0.0,0.0
161,[420, 194, 105, 497, 188],0.0,0.0
391,[278, 766, 183, 142, 618],0.0,0.0
171,[587, 598, 807, 381, 369],0.0,0.0
352,[876, 545, 528, 3, 564],0.0,0.0
181,[244, 632, 204, 563, 886],0.0,0.0
362,[677, 27, 205, 387, 806],0.0,0.0
191,[477, 643, 500, 320, 970],0.0,0.0
372,[460, 325, 489, 653, 1],0.0,0.0
152,[987, 511, 277, 206, 36],0.0,0.0
382,[236, 137, 303, 591, 777],0.0,0.0
162,[978, 772, 72, 158, 960],0.0,0.0
392,[337, 782, 143, 11, 410],0.0,0.0
172,[817, 534, 337, 375, 592],0.0,0.0
353,[635, 785, 667, 748, 910],0.0,0.0
182,[496, 624, 698, 865, 649],0.0,0.0
363,[468, 949, 81, 162, 485],0.0,0.0
192,[942, 923, 314, 110, 479],0.0,0.0
373,[643, 459, 685, 767, 337],0.0,0.0
153,[195, 156, 951, 166, 343],0.0,0.0
383,[854, 376, 953, 541, 121],0.0,0.0
163,[31, 855, 104, 709, 610],0.0,0.0
393,[962, 775, 248, 140, 457],0.0,0.0
173,[263, 59, 487, 934, 516],0.0,0.0
183,[483, 104, 381, 916, 284],0.0,0.0
354,[234, 634, 652, 746, 134],0.0,0.0
250,[36, 806, 875, 857, 668],0.0,0.0
364,[909, 149, 854, 371, 375],0.0,0.0
260,[727, 515, 898, 11, 870],0.0,0.0
193,[759, 845, 637, 228, 566],0.0,0.0
50,[136, 240, 241, 156, 109],0.0,0.0
374,[64, 731, 500, 247, 825],0.0,0.0
60,[506, 406, 460, 348, 512],0.0,0.0
270,[671, 13, 619, 406, 367],0.0,0.0
154,[657, 897, 630, 893, 122],0.0,0.0
384,[785, 814, 163, 815, 309],0.0,0.0
164,[352, 880, 898, 87, 805],0.0,0.0
280,[748, 672, 942, 168, 681],0.0,0.0
70,[18, 681, 325, 223, 298],0.0,0.0
394,[25, 455, 725, 665, 916],0.0,0.0
80,[198, 907, 481, 755, 289],0.0,0.0
174,[195, 503, 866, 876, 860],0.0,0.0
290,[633, 488, 3, 947, 141],0.0,0.0
184,[792, 199, 919, 164, 393],0.0,0.0
355,[581, 119, 284, 424, 774],0.0,0.0
90,[262, 600, 955, 386, 137],0.0,0.0
251,[344, 848, 385, 495, 241],0.0,0.0
194,[77, 726, 349, 96, 848],0.0,0.0
365,[115, 227, 53, 259, 337],0.0,0.0
261,[494, 424, 516, 529, 766],0.0,0.0
51,[799, 603, 724, 336, 263],0.0,0.0
61,[834, 602, 192, 840, 249],0.0,0.0
