780,100,200,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,10-20,Pre_trained Model,Level concatenation upercase,binary,0.674698795180723,{'C': 2}
893,100,100,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level post upercase,tf,0.6741573033707865,{'C': 0.05}
705,500,200,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-20,Pre_trained Model,Level post lowercase,binary,0.6736842105263158,{'C': 0.05}
722,100,100,0.9,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10-20,Pre_trained Model,Level post upercase,binary,0.6666666666666667,{'C': 0.05}
661,500,200,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level post lowercase,binary,0.6666666666666667,{'C': 0.05}
640,500,200,0.9,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,20,Pre_trained Model,Level post lowercase,binary,0.6666666666666667,{'C': 0.05}
655,100,100,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level post upercase,binary,0.6666666666666666,{'C': 0.25}
659,100,100,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level post lowercase,binary,0.6666666666666666,{'C': 0.05}
669,200,100,0.95,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level concatenation upercase,binary,0.6666666666666666,{'C': 0.05}
865,200,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,positive,20,Pre_trained Model,Level concatenation upercase,tf,0.660377358490566,{'C': 0.05}
636,100,200,0.99,No difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,20,Anorexia Model,Level post lowercase,binary,0.6597938144329897,{'C': 0.05}
837,500,200,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,positive,5,Pre_trained Model,Level post lowercase,tf,0.6597938144329897,{'C': 0.05}
790,100,200,0.99,No difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,5-20,Anorexia Model,Level post lowercase,binary,0.6593406593406594,{'C': 0.5}
